식별자,뉴스제목,뉴스본문,Label
2_00042,"20대 총선 투표 시작, 오전 7시 투표율 1.8 %","20대 총선 투표일인 오늘(13일) 오전 7시 기준 투표율은 1.8 %로 집계됐다. 

투표는 이날 6시부터 시작됐다. 일부 투표소에는 투표 시각 전부터 투표하러 기다리는 노인 유권자 모습이 보이기도 했다. 투표소에는 오전 7시 현재 직장인, 학생 등 유권자 발걸음이 이어지고 있다. 

오전 7시 기준 가장 투표율이 높은 지역은 강원도로 2.4%, 가장 낮은 지역은 제주도로 1.3 % 투표율을 보이고 있다. 

지난 19대 총선 투표율은 54.2%였으며 이번 총선은 지난번보다 높을 것으로 예측되고 있다. 이번 투표는 오후 6시 마감된다.

바다를 무대로 생계를 꾸려가는 어업인들은 일반 소비자들에게 양질의 수산물을 제공해줘 우리의 먹거리를 더욱 더 풍요롭게 해주는 보배와 같은 존재입니다.

당선자 윤곽은 개표가 빨리 진행되는 지역을 중심으로 오후 10시쯤 드러날 것으로 예상된다. 경합지역도 자정쯤 당락이 확실해질 것으로 보인다.",1
2_00043,정준호 끌어안는 문재인 사진이 화제인 이유,"광주 북구갑 정준호 후보를 끌어안는 문재인 더불어민주당 전 대표 사진이 화제다.

문 전 대표는 12일 광주를 찾아 지원 유세를 펼쳤다. 문 전 대표는 서구 금호동 풍금사거리에서 열린 서구을 양향자 후보 지원유세에서 정 후보를 만나 그를 끌어안았다. 두 사람 주위로 관계자와 유권자들이 흐뭇한 미소를 짓고 있는 모습도 함께 포착됐다.

당 핵심 인사가 지원 유세를 나가 후보자를 끌어안는 일은 흔한 일이다.

ATM 현금 입출금 및 이체 수수료 등 주요 서비스 수수료도 면제했다.

이번 포옹이 화제가 된 것은 정 후보가 지난 3일 문 전 대표에게 차기 대통령 선거에 출마하지 말 것을 요구하며 강한 비판의 날을 세웠기 때문이다. 당시 정 후보는 2박 3일간 문 전 대표 불출마 선언과 광주시민을 향한 '석고대죄'를 요구하며 삼보일배를 올렸다. 

12일 문 전 대표를 만난 정 후보는 ""어려운 걸음을 해주셔서 감사하다""고 인사를 전했다.",1
2_00044,유승민 친딸 유담 사진 4장,"무소속 유승민(58·3선) 후보 선거대책위원회 발대식에 참여한 유 후보 친딸 유담 씨 '미모'가 눈길을 끌고 있다.  

30일 유 후보는 대구 동구에 있는 자신의 선거사무소에서 발대식을 열고 ""선거에서 반드시 이겨 새누리당으로 돌아가겠다""고 말했다.

유 후보는 ""당을 떠나며 제 가슴도 아팠다""며 ""하지만 지난 24일, 함께하던 300여 명이 전부 다 탈당하는 게 결코 쉬운 일이 아니었다""고 회고했다. 

30㎝가 넘는 이날 폭설로 미시령 도로 통행이 잠시 제한되는 등 운전자들의 불편이 이어졌다.

그러면서 ""우리 무소속 후보를 두려워하고 무슨 바람을 일으킬까 겁은 내는 행태는 정상으로 보이지 않는다""며 ""이번 선거는 대구 동을 만의 선거가 아니며 대구의 미래를 선택하는 선거가 돼야 한다""고 강조했다. 

이날 발대식에는 유 후보의 부인 오선혜 씨와 친딸 유담 씨도 함께했다. 유담 씨는 '걸그룹' 뺨치는 미모로 시선을 사로잡았다. ",1
2_00045,"대놓고 ""전관예우"" 운운하는 국회의원 영상","새누리당 최경환(61·3선) 의원이 용인의 한 선거사무소를 찾아 ""전관예우를 발휘해 예산을 밀어주겠다""고 말해 빈축을 사고 있다. 

28일 네이버 TV캐스트 '비디오머그'에 올라온 영상에는 지난 26일 경기 용인시 수지구에 있는 새누리당 이상일(55) 후보 선거사무소 개소식을 찾아 유세하는 최 의원 모습이 담겼다.  

서울시 교통정보과는 ""서울 지역에 내리고 있는 비로 청계천 산책로 청계지점에서 고산자교구간의 보행자 통행이 오후 5시 20분부터 통제되고 있다""고 밝혔다.

이날 최 의원은 ""이런 발전하는 도시(용인)에는 제대로 (일을)하려면 힘 있는 여당 후보를 뽑아야 한다""며 ""야당 후보를 뽑으면 절대 안 된다""고 강조했다. 

이어 ""내가 경제부총리를 지냈다. 비록 지금은 그만뒀지만, 그래도 전관예우라고 제가 임명한 공무원이 수두룩하다""며 ""이상일 후보 꼭 좀 당선시켜주고 허명환(용인을), 이우현(용인갑) 딱 세트로 당선시켜주면 (내가) 전관예우를 좀 발휘해서 용인에 확실한 예산을 보내겠다""고 덧붙였다. 

'전관예우'란 퇴임한 고위 공직자들을 일정 기간 동안 재임 때처럼 대하는 일을 뜻한다. 법조계에서는 전직 판·검사들이 변호사 개업 후 맡은 사건에 대해 상대적으로 유리한 판결을 내리는 의미로 쓰인다. 

한국 사회에서 '전관예우'는 부정부패의 원흉처럼 여겨져 왔다. 국회는 지난 2011년, 공직에서 퇴임한 변호사들이 전에 근무한 법원·경찰청 등의 사건을 1년 동안 수임할 수 없게 하는 소위 '전관예우 금지법'을 통과시켰었다. ",1
2_00046,"""철없이 일진 놀이"" 컷오프 이종훈 아들 공개 비판글","새누리당 공천에서 컷오프된 성남 분당갑 이종훈 의원 아들이 공개적으로 새누리당 공천관리위원회와 친박계를 비판했다. 

이종훈 의원의 아들 이우진 씨는 페이스북을 통해 ""방금 회사에서 야근하다 뉴스를 봤습니다""로 시작하는 장문의 편지를 썼다. 

경기도 1인 가구 49.8%가 ‘삶에 만족한다’고 말한 수치가 2인 이상 가구(56.8%)에 비해 낮은 것으로 4인 이상 가구(60.7%)와 비교해도 10% 이상 차이 나는 것으로 조사됐다.

그는 ""민주주의 국가의 여당이, 열심히 일하는 정치인을 그저 자신들이 싫어한다는 이유만으로 자르지는 않을 것이라 생각했는데 제가 틀렸다""고 말했다. 이 씨는 ""왜 착하고 열심히 일한 내 아버지는 법적으로 주어진 것보다 더 많은 권력을 탐내는 '그분' & 패거리와 다른 생각을 가지고 있다는 이유만으로 따돌림을 당하는 것일까 라는 생각이 들었다""며 ""사실 제 눈에 ㅇㅎㄱ(이한구) 위원장이나, '그분'이나 친박 실세라는 분이나 모두 철없이 학교에서 일진 놀이하는 아이들로 보이기 시작했다. 국민을 대표하는 정치인들이 초중고등학생들에게 하지 말라고 가르치는 왕따 놀이를 하는 게 참 어이가 없다""고 비판했다.

이 의원은 유승민 의원이 원내대표일 시절 원내대변인을 지낸 유 의원 최측근이다. 유 의원은 대표적인 친박계 인사였으나 지난해 박근혜 대통령으로부터 '배신의 정치' 낙인이 찍혔다. 

한편 새누리당은 16일 오후 현재까지도 유 의원에 대한 공천 여부를 결정하지 못했다.  ",1
2_00047,스마트 신발' 보고 박 대통령이 던진 말,"""이거 인공지능이에요?""

﻿박근혜 대통령이 한 IT 기업이 개발했다는 '스마트 신발'을 보고 던진 말이다.  

박 대통령은 지난 10일 대구 동구 창조경제혁신센터를 찾아 지난 성과를 점검하고 참여 기업들에게 적극적 활동을 독려했다. 이날 참여 기업 일부는 박 대통령에게 개발 중인 제품 및 기술을 시연하거나, 소개했다. 

'성폭력범죄의 처벌 등에 관한 특례법'에 따르면, 2명 이상이 함께 흉기나 위험한 물건으로 성폭행을 저질렀을 경우 무기징역 또는 5년 이상의 징역에 처할 수 있다.

한 기업 대표가 박 대통령에게 자사가 개발했다는 '스마트 신발'에 대해 설명을 시작했다. 대표는 ""센서가 달려 있어서 사용자가 운동을 할 때 데이터를 취득하고 운동을 잘할 수 있게끔 도와주는 제품""이라고 말했다. 

대표의 설명을 듣던 박 대통령은 ""이거 인공지능이에요?""라는 돌발 질문을 던졌다. 대표는 ""인공지능은 아니고""라며 멋쩍은 웃음을 지었다. 박 대통령은 ""비슷하게 가려고 그랬더니""라며 미소를 지었다. 

영상은 11일 오후 4시 50분 기준 조회 수 200여 회를 기록 중이다. ",1
2_00048,"""최대 90분 만원, 음료+슬리퍼 제공"" CGV 낮잠 서비스 재개","CGV여의도가 20일부터 낮잠 서비스를 재개한다.

CGV여의도 낮잠 서비스 '시에스타(Siesta)'는 지난해 3월부터 10개월간 운영, 잠정 중단됐던 서비스다. 

이날 CGV는 ""고객들의 지속적인 요청이 이어져 새로운 모습으로 단장해 다시 문을 열게 됐다""고 밝혔다.

한 남성은 에버랜드 직원으로 보이는 여성을 향해 데굴데굴 갑자기 앞구르기를 했다.

'시에스타'는 매주 월요일부터 목요일, 오전 11시 30분부터 오후 1시까지 이용할 수 있다. 리클라이너 좌석이 비치된 프리미엄관(7관)에서 최대 90분 동안 낮잠을 즐길 수 있다. 좌석 대여를 포함해 음료(tea), 담요, 슬리퍼를 제공한다. 이용 가격은 1만 원이다.

총 좌석 수는 96석이지만 1인에게 두 좌석씩 제공해 최대 48명이 사용할 수 있다. 좌석은 180도까지 각도가 조정된다. 이용 중에는 어두운 조명이 깔리고 잔잔한 음악이 흘러나온다. 남성존, 여성존, 커플존이 구분돼 있다.",1
2_00049,"NASA 지구형 행성 무더기로 발견 ""제2의 지구"" 현실로?","지난 2월 미 항공우주국(NASA)은 지구와 비슷한 행성 7개를 새로 발견했다고 밝혔다. 이들 행성은 지구에서 39광년 떨어진 별 주변에 있다. 

연구진들에 따르면 지구와 유사한 환경의 행성이 한꺼번에 7개나 발견된 것은 이번이 처음이다. 

나사 연구원 토마스 쥐르버켄은 “대기층이나 생명체 존재 가능성을 찾기에 가장 적합한 행성들”이라면서 “제2의 지구를 찾는 일은 시간 문제라는 사실을 확인했다”고 했다. 

행성 가운데 3개는 물이 존재할 가능성이 있는 걸로 나타났다. 생명 유지에 필수인 물이 액체 상태로 존재한다면 외계 생명체 존재 여부에 대한 기대도 높아질 전망이다. 

이들 행성뿐 아니라 ‘화성’에서도 외계 생명체 존재 가능성은 꾸준히 제기돼 왔다.

지난 2015년 NASA는 화성에 액체 상태의 물이 ‘소금물 개천’ 형태로 지금도 흐르고 있다고 밝혔다. 이는 화성에 외계 생명 존재 가능성을 시사하는 동시에 인간이 화성에 살 수 있게 될 가능성도 보여줘 많은 화제가 됐다. 

NASA의 이러한 발표로 외계 생명체 존재 가능성은 점차 높아지며, 연구진을 비롯해 인류가 역대급 관심을 보이고 있다. 때마침 이러한 상황을 예견이라도 한 듯 ‘화성 생명체 발견’ 소재의 영화에 대한 관심이 쏠리고 있다. 바로 4월 개봉을 앞둔 ‘라이프’다. 

영화 ‘라이프’는 위대한 발견이라고 여겼던 ‘화성 생명체’가 도리어 인류를 위협한다는 내용을 그린 SF 재난 스릴러다. 

실제로 일어날 수 있는, 곧 우리에게 다가올 수 있는 미래가 될 수도 있다는 점에서 더욱 스릴 넘치고 흥미로울 것이라는 평이다. 

영화 속 우주비행사들은 인류 최초로 화성 생명체 ‘캘빈’을 발견해 전 세계 주목을 받는다. 

영화 '라이프'에는 새로운 화성 생명체가 등장한다. 지금까지 상상하지 못했던 모습을 하고 있다. 미스터리한 화성 생명체 ‘캘빈’은 모든 신체가 근육과 뇌세포로 이루어져 비주얼마저 ‘생소한’ 모습이다. 

우주비행사들은 ‘캘빈’에게 질병 치료 가능성 등 다양한 효과를 기대하며 호기심을 품는다. 하지만 호기심도 잠시, 캘빈이 이들에게 위협적인 행동을 가하면서 분위기는 바뀐다. 영화 '라이프'의 반전이다. 이후 우주비행사들은 각자의 방법으로 캘빈과 사투를 벌인다. 

이처럼 영화 속 ‘캘빈’은 현재 우리가 막연히 상상하는 외계인 또는 외계 생명체의 모습과는 조금 다르다.  크기도 아주 작고, 인간과 닮지도 않았다. 하지만 그 누가 예상치 못한 ‘우주’라는 미지의 영역답게 공포스러운 힘을 가진 존재로 인류를 위협하게 되는 것이다.

다가오는 4월엔 서울을 비롯 진해, 제천, 제주 등 전국 지자체에서 일제히, 벚꽃축제가 시작되는데요, 벚꽃 중의 토종 왕벚나무의 자생지로 유명한 제주도는 오는 31일부터 내달 9일까지 10일간 애월읍 장전리, 전농로, 제주대 입구 등 3곳 등지에서 제주왕벚꽃 축제를 개최합니다.

‘라이프’의 연출을 맡은 영화감독 또한 멀지 않은 미래에 ‘우리들’에게 벌어질 수 있는 이야기로 현실적인 영화를 연출했음을 밝혔다. 

“지금 우리에게 닥친 현실에 대한 이야기가 바로 ‘라이프’다. 현재 인류에게 화성 생명체의 발견이 실제로 일어날 수 있는 핵심 사안인 만큼, 영화를 최대한 사실적으로 만들기 위해 노력했다”

이처럼 외계 생명체가 인류에게 적대적일지 우호적일지 알 수 없다. 실제 ‘외계 생명체’도 영화 속 ‘캘빈’처럼 인류에게 적대적으로 대할 수 있는 법. 

그렇다면 그때 인류는 어떻게 행동해야 할까. 영화는 실제 우리가 겪을 수 있는 미래일 수도 있다는 점에서 더욱 울림을 준다. ",1
2_00050,"LG G6 국내 출시일, 공교롭게도 '대통령 탄핵 선고일'","LG전자 새 스마트폰 'G6' 국내 출시일이 공교롭게도 박근혜 대통령 탄핵 선고일과 겹치게 됐다. LG전자가 휴대폰 시장 부진을 만회하기 위해 심혈을 기울인 G6 판매에 어떤 영향을 미칠지 귀추가 주목되고 있다.

헌법재판소는 박 대통령 탄핵심판 선고를 10일 오전 11시에 한다고 지난 8일 밝혔다. 탄핵심판 선고는 전국에 생중계하기로 해 국민적으로 큰 관심이 예상된다.

보통 업계에서는 국가적인 행사나 경쟁사 제품 출시일을 피해 신제품 출시를 하고 있다. 하지만 박 대통령 탄핵심판 선고일이 갑자기 정해지는 바람에 예상치 못한 변수가 생겼다. 자칫 사람들의 이목이 박 대통령 탄핵심판 결과에 쏠리면서 G6 국내 출시 사실이 묻힐 수도 있기 때문이다.

이번 천국의 알바 새 시즌 참가 자격은 기존과 다르게 대학생 신분이 아니어도 되며, 새로운 도전에 대한 열정과 끼가 넘치는 대한민국 국적의 20대(1988년 1월 1일생~1998년 2월 28일생) 알바청춘이라면 누구나 참여가 가능하다.

이에 대해 LG전자 관계자는 9일 지디넷 인터뷰에서 ""공교롭게 탄핵 선고일과 출시일이 겹쳤지만 G6 판매에 직접적인 영향은 없을 것으로 예상돼 마케팅 기조에 변화는 없다""고 말했다.

LG전자는 2일부터 8일 간 G6 예약 판매를 했다. 업체는""하루 평균 1만대꼴로 예약 신청을 받았다""고 밝혔다. ",1
2_00051,"“삼성, 미래전략실 폐지” 계열사 자율 경영 체제로","삼성이 28일 오후 이재용 삼성전자 부회장 구속 이후 전면적 경영쇄신안을 밝혔다.

삼성은 그룹 컨트롤타워 역할을 해온 미래전략실 공식 해체를 선언했다. 

단식 경영을 해온 삼성이 계열사 자율경영 체제를 표방함에 따라 이제는 '삼성그룹'이란 이름도 더는 쓸 수 없게 됐다.

삼성 미래전략실은 출범한 지 58년 만에 사라지게 됐다. 미래전략실은 지난 1959년 삼성 창업주인 이병철 선대 회장 시절 비서실에서 출발했다. 

계열사 자율경영 체제로 바뀌면서 신입사원 공채 역시 계열사별 공채로 전환될 예정이다. 수요 사장단 회의와 CEO 세미나도 없어졌다. 삼성은 앞으로 삼성전자, 삼성생명, 삼성물산을 중심으로 계열사끼리 주요 사안을 함께 조정하는 자율 경영을 할 것으로 보인다.

이 씨는 지난 7일 방송된 tvN '코미디 빅리그' 코너 '오지라퍼'에서 '여자 웃는 스타일' 3가지를 정리했다.

미래전략실 최지성 실장(부회장)과 장충기 차장(사장) 비롯한 7개 팀장 모두 사임한다. 박상진 삼성전자 대외협력부문 사장(승마협회장)도 삼성전자와 승마협회에서 모두 물러난다. 승마협회에 파견된 임직원들 역시 소속사로 복귀한다. 

미래전략실 소속 임직원 200여명은 삼성전자·생명·물산 등 3개 주력 계열사로 이동할 예정이다. 이들은 미래전략실 업무 인수인계 등을 거친 뒤 원소속사나 다른 계열사에 배치될 것으로 알려졌다.",1
2_00052,"스마트폰 고전하는 LG, '18대 9 화면비' 카드 꺼내든다","최근 스마트폰 시장에서 고전하는 LG가 '비장의 카드'를 꺼내든다. '18대 9 화면비' 디스플레이를 채택한 스마트폰이다. 일반 스마트폰 화면비는 16대 9 수준이다. 화면비가 넓을수록 스크린을 두개로 나눠 동시에 작업하는 '듀얼 스크린' 기능을 활용하기 쉬워진다. 

LG디스플레이는 18대 9 화면비를 적용한 5. 7인치 모바일용 LCD를 개발했다고 10일 밝혔다. 새 디스플레이는 LG전자가 선보일 차기 스마트폰 'G6'에 장착할 예정인 것으로 알려졌다. 

식품 복용 전후 체내 지방 양 차이는 체성분 분석기로 측정했다.

새 디스플레이 해상도는 1440×2880으로 기존 QHD(1440×2560)보다 높아 QHD+로 명명했다. 

LG디스플레이 측은 ""스마트폰으로 동영상 소비와 멀티 태스킹이 늘어나고 있는 추세에 맞춰 18:9라는 새로운 화면비로 소비자들에게 새로운 시각적 경험과 디스플레이가 진화해야 할 방향을 제시한 것""이라고 했다. 

최근 LG전자는 스마트폰 실적 부진 등으로 6년 만에 처음으로 분기 영업적자를 기록했다. LG전자는 지난해 4분기 14조 원 이상의 매출을 올리고도 353억 원의 영업적자를 냈다.

LG전자는 차기 스마트폰 G6를 올해 초 출시해 시장에서 반전을 노릴 계획인 것으로 전해졌다. ",1
2_00053,"정우성 ""'아수라' 호불호 논란? 굉장히 불편한 영화 맞다""","배우 정우성이 영화 '아수라' 호불호 평가에 대한 생각을 밝혔다. '아수라'는 지난해 개봉 전부터 많은 관심을 받았지만 작품성, 완성도와는 별개로 김성수 감독이 설계한 악의 세계에 대한 극심한 호불호 논란을 낳았다. 이에 정우성 외 황정민, 곽도원, 주지훈, 정만식 등 배우를 캐스팅하고도 크게 흥행하지 못했다는 비난과 직면했다. 

정우성은 최근 서울 종로구 삼청동의 한 카페에서 진행된 인터뷰에서 ""대중의 '아수라' 호불호 평가 이후 대중이 영화를 보는 시각에 대해 새롭게 인식하게 된 지점이 있나""라는 질문을 받았다. 

이에 정우성은 ""사실 아수라는 굉장히 불편한 영화가 맞다""며 ""현실이 냉소적이고 비관적이다. 영화의 결말에 대한 통쾌함을 주는 영화도 아니다. '아수라'에는 대한민국의 구조가 '선은 악을 이길 수 없다'는 작가의 철학도 담겨 있다""고 설명했다. 

그는 이어 ""한도경의 스트레스도 극심하고 영화가 무겁고 밀도 있게 가다 보니까 영화를 보는 사람도 눈이 아닌 몸으로 보며 아프고 힘들 수밖에 없다. 게다가 대부분 폭력적인 언어들 밖에 없다. 그래서 호불호가 갈릴 수밖에 없는 것""이라고 덧붙였다. 

또 정우성은 ""그런 우리의 표현 방식을 많은 사람들이 이해하고 교감했으면 좋겠다는 바람이 있었고 그 바람을 위해 더 열심히 표현을 했다""며 ""그 바람이 비록 이뤄지지 않았지만 섭섭하다고 얘기할 순 없다""고 담담하게 이야기를 이어갔다. 

임신을 하게 되면 우리 몸에서 Relaxin 이라 하는 호르몬이 대량으로 분비되기 때문입니다.

계속해서 그는 ""하지만 '아수라'가 담고 있는 메시지를 열광적으로 받아들이는 관객이 나타나기도 했다""며 ""영화라는 게 영상에 담긴 감성으로 관객과 소통하는 매체인데 그 소통하는 타이밍이 안 맞을 수도 있다. '아수라'가 이 시국에 나와도 불편할 수 있다""고 전했다. 

정우성은 ""하지만 '아수라'가 갖고 있는 본질에 대한 질문에 얼마나 충실했는가가 가장 중요하다. 그 부분에 작품의 가치를 매길 수 있는 것 같다""며 ""그점에서 '아수라'가 갖고 있는 작품의 가치에서 만큼은 큰 자부심을 느끼고 애정을 품고 있다""고 고백했다. ",1
2_00054,무소불위 권력' 특검도 못 들어가는 청와대 뚫은 쿠팡?,"박영수 특별검사팀 청와대 압수수색이 무산된 가운데 쿠팡 트럭이 청와대에 들어가는 장면이 네티즌에게 이목을 끌고 있다. 

지난 2일 트위터 사용자 하루는 ""쿠팡 트럭ㅋㅋㅋ""라며 JTBC 뉴스 캡처 화면을 올렸다. 그가 올린 캡처 뉴스 화면에는 청와대에 진입하는 쿠팡 트럭이 포착됐다. 이 트윗은 리트윗 1000여 개를 넘기며 온라인에 퍼졌다. 

현대/기아차가 다음 달 1일부터 4일까지 하계 특별 무상점검 서비스를 실시한다.

하루는 위키트리에 ""특검도 못 들어가는 곳에 쿠팡이 들어가다니 아이러니다""라며 ""나라 상황이 너무나 유쾌하다""고 말했다. 한 페이스북 사용자는 ""법원이 정식으로 발부한 압수수색 영장 가지고도 기밀시설이라 못 들어가는 청와대, 쿠팡은 자유롭게 드나드네""라는 글을 썼다. ""쿠팡 트럭에 직원 태워 보내자""는 페이스북 사용자도 있었다. 

지난 3일 박영수 특별검사팀은 오전부터 청와대 압수수색을 시도했다. 하지만 청와대 측은 진입을 허락하지 않았다. 특별검사팀은 오후 2시 50분경 철수했다. ",1
2_00055,이진욱 활동 재개? 고현정 주연작으로 스크린 복귀,"배우 이진욱이 스캔들 이후 스크린으로 복귀, 연기 활동을 재개한다. 

3일 영화계에 따르면 이진욱은 최근 영화 '호랑이보다 무서운 겨울손님'(감독 이광국) 출연을 확정짓고 촬영을 준비 중이다. 

수요일인 29일 전국이 흐리고 남부지방과 제주도는 아침까지 장맛비가 내리겠다.

'호랑이 보다 무서운 겨울손님'은 동거하던 여자친구에게 이유없이 버림받은 남자 경유가 대리운전을 하던 중 옛 연인 유정을 만나 새로운 여정을 시작한다는 이야기를 그리는 영화다. 고현정이 극 중 자신이 희망하던 소설가가 됐지만 소설을 쓰지 못해 궁지에 몰린 유정 캐릭터를 맡는 것으로 전해지며 화제가 된 바 있다. 이진욱은 남자주인공 경유를 맡는 것으로 알려졌다. 

한편 이진욱은 지난해 7월 30대 여성 A씨에게 성폭행 혐의로 피소됐다. 이에 이진욱 역시 A씨를 무고 혐의로 맞고소 했다. 이후 이진욱은 불기소 의견으로 경찰에 송치됐고, A씨는 무고 혐의로 송치돼 현재 재판을 받고 있다. 이로써 이진욱은 잠정적으로 활동을 중단한지 약 7개월 만에 활동 재개 소식을 알린 셈이 됐다. 이와 관련해 이진욱 소속사 측은 전화를 받지 않고 있다.",1
2_00056,"""황정음 올해 엄마 된다...임신 4개월""","배우 황정음(32) 씨가 올해 엄마가 된다는 보도가 나왔다.

2일 TV리포트는 복수의 연예 관계자 입을 빌려 ""황정음 씨는 현재 임신 중으로 4개월째에 접어들었다""고 전했다. 

같은날 황정음 씨 소속사 씨제스엔터테인먼트 측은 ""황정음이 임신 초기이며 가을쯤 출산할 예정""이라며 ""당분간 휴식과 함께 태교에 전념할 계획""이라고 밝혔다.  

허벅지 지방흡입 시술을 받았거나 고민 중인 분들 대부분은 지방흡입 시술 후 별도의 다이어트가 필요 없다고 생각하는 경우가 많습니다.

황정음은 프로골퍼 겸 사업가 이영돈 씨와 지난해 2월 26일 신라호텔에서 결혼식을 올렸다. 두 사람은 지인의 소개로 만나 결혼에 이르렀다.  

황정음 씨는 지난해 7월 방송에 출연해 ""오빠(남편)가 저보고 '인형'이라고 부른다""며 남다른 금슬을 자랑하기도 했다.",1
2_00057,"""이건희 회장 건강 양호, 휠체어 타고 복도 다닌다""","이건희(75) 삼성전자 회장 건강이 양호한 상태라는 보도가 나왔다. 이 회장은 2014년 4월 급성 심근경색으로 쓰러진 뒤 서울 삼성병원에서 치료받고 있다.

한겨레 신문은 지난 1일 오후 삼성 그룹 관계자 입을 빌려 ""의사소통이 어렵다는 것을 제외하면 이건희 회장 건강 상태가 아주 양호하다. 건강한 상태다""라고 전했다. 이어 ""침대에만 누워 있지 않고 간병인의 도움을 받아 휠체어를 타고 병실 복도를 오가기도 한다""고 덧붙였다.

취업포털 잡코리아가 '면접에서 주의해야 할 행동'을 주제로 한 설문조사 결과를 27일 밝혔다.

삼성그룹 미래전략실 등은 2014년 ""이 회장 건강에 조금씩 차도가 있다""는 소식을 외부에 전하기도 했다. 이후 미래전략실이 2015년부터 브리핑을 중지하면서 이 회장 건강 상황도 밖으로 알려지지 않았다. 

지난해 6월 '이건희 회장 사망설'이 증권가를 중심으로 유포되기도 했다. 당시 삼성그룹 고위 관계자는 ""전혀 사실이 아니다""라고 선을 그었다. 

삼성서울병원은 이 회장이 입원중인 20층 브이아이피(VIP)병동의 출입을 통제하고 있는 것으로 알려졌다",1
2_00058,폭염주의보 문자' 있으면 롯데월드 반값 할인,"롯데월드가 행정안전부 또는 국민안전처에서 보낸 폭염주의보 문자를 받은 고객을 대상으로 반값 할인에 나섰다.

1일 롯데월드는 8월을 맞이해 '한여름 밤의 롯데월드' 행사를 연다고 밝혔다. 정부에서 발송하는 폭염주의보 또는 폭염경보 문자를 받은 고객은 야간권을 동반 1인 포함 19900원에 구입할 수 있다. 정상가는 41000원이다.

공 감독은 “(옆 사무실 분들은) 볼 때마다 ‘밥은 먹었냐’고 물어봐 주시는 좋은 분들”이라며 “대한민국 사회가 도덕적으로 무너지고 있다고 늘 걱정 하신다.

할인 혜택을 받기 위해선 매표소에서 폭염 주의보 문자를 제시하면 된다. 할인 행사는 오늘(1일)부터 31일까지다.

롯데월드 측은 하복 우대 이벤트인 '쿨하게 하복을 입고' 행사도 함께 연다. 여름용 교복을 입고 롯데월드에 방문하면 동반 1인까지 최대 50% 할인 혜택을 받을 수 있다. 셔츠(블라우스), 바지(치마)까지 모두 하복으로 갖춰 입은 고객만 해당한다.   

하복을 입은 이용객은 롯데월드 1일 권을 15일까지 26000원(정상가 52000원)에 구입할 수 있다. 16일부터 31일까지는 25000원으로 1000원 더 할인된다. 야간권은 15일까지 20000원, 16일부터 31일까지 19000원이다. 

아울러 롯데월드는 8월 한달 동안 폐휴대폰 할인 행사도 마련해 놓았다. 현장 매표소에서 안 쓰는 휴대폰을 기부하면 동반 1인 포함 입장료를 반값으로 살 수 있다. 각 행사는 중복 할인이 불가능하다.",1
2_00059,"이상민 ""신정환 걱정 안 하는 스타일""","방송인 이상민 씨가 방송에서 신정환 씨에 대해 언급했다.

지난달 31일 방송된 채널A '풍문으로 들었쇼'에서는 7년 만에 복귀를 선언한 신정환 씨에 대한 이야기가 다뤄졌다. 

패널로 출연한 배우 김가연 씨는 ""댓글들을 살펴보면 좋은 말보다는 대다수가 다 악플들이었다. 근데 막상 복귀한다고 하니 사람들이 관심도 있고 반응도 뜨겁다""고 말했다.

콜택시를 부르는 게 가장 안전하며, 우리나라의 카카오택시와 비슷한 얀덱스나 막심을 많이 사용한다.

이준석 씨는 ""'자랑스러운 아빠가 되는 방법이 복귀만 있겠느냐' 이런 반응이 나오는 거로 봐서는 아직까지 신정환 씨 복귀가 모두에게 환영받을지는 미지수인 것 같다""고 말했다.

유독 신정환 씨 복귀가 힘든 이유에 대해서 강일홍 기자는 ""7년이라는 최장 자숙 기간에도 대중들이 신정환 씨를 용서하기 힘든 여러 이유가 있다. 처음 문제가 됐던 건 2005년에 강남의 한 카지노에서 도박을 한 사건이었다. 당시 친구를 만나러 갔었다고 해명했지만, 조사 결과 도박을 한 게 드러나면서 '거짓말 논란'이 일었다""고 말했다.

박현민 기자는 ""대중들 마음이 완전히 돌아선 건 2010년 사건이었다. 당시 신정환 씨가 방송 프로그램들을 연달아 펑크내면서 여러 가지 설이 돌았다. 그러던 중 신정환 씨가 자신의 팬카페에 '뎅기열' 사진을 올렸고, 불법 해외 원정 도박을 숨기기 위한 거짓말이었다는 게 밝혀져 논란이 가중됐다""고 말했다.

MC 이상민 씨는 신정환 씨 복귀를 두고 ""방송 트렌드가 많이 바뀌었다. 신정환 씨 경우 최신 트렌드를 따라가지 못해 비난받을 수도 있는 상황인데, 상처받지 않았으면 좋겠다""고 말했다. ""신정환 씨가 지금 걱정을 많이 하고 있나""라는 질문에는 ""(신정환 씨는) 걱정을 안 하는 스타일이다""라고 답했다.",1
