,age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
88,55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
89,44,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K
90,39,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,>50K
91,46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,>50K
92,39,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States,>50K
93,62,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States,>50K
94,31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,>50K
95,46,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,>50K
96,46,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
97,39,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States,>50K
98,39,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States,>50K
99,59,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
100,50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
101,46,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K
102,53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States,>50K
103,50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,United-States,>50K
104,41,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States,>50K
105,36,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States,>50K
106,38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,90,United-States,>50K
107,54,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K
108,50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,>50K
109,47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
110,47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
111,67,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,>50K
112,67,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States,>50K
113,72,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States,>50K
115,46,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,United-States,>50K
116,78,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K
117,71,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,>50K
118,83,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,United-States,>50K
119,68,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K
120,26,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K
121,68,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,>50K
122,49,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K
123,36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,<=50K
124,70,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States,>50K
125,27,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,<=50K
126,35,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,United-States,<=50K
127,23,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,2377,40,United-States,<=50K
128,81,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,United-States,>50K
129,66,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,0,2377,25,United-States,>50K
130,71,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,United-States,>50K
131,68,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,United-States,>50K
134,52,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,United-States,<=50K
135,40,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,50,United-States,<=50K
137,21,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,United-States,<=50K
138,35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K
139,70,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,>50K
140,61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K
141,65,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,<=50K
142,46,Private,5th-6th,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States,<=50K
143,26,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,<=50K
144,59,Local-gov,HS-grad,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,<=50K
145,61,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,United-States,<=50K
146,60,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,<=50K
147,49,Self-emp-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,<=50K
149,25,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,<=50K
151,59,Local-gov,HS-grad,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,<=50K
152,28,State-gov,Some-college,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,<=50K
154,56,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,<=50K
155,41,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,<=50K
156,42,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,<=50K
157,28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,<=50K
158,40,Self-emp-not-inc,Prof-school,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,<=50K
159,69,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,>50K
160,66,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K
161,69,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K
162,55,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States,<=50K
163,57,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K
164,20,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,United-States,<=50K
165,33,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,<=50K
166,30,Self-emp-not-inc,Some-college,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,South,<=50K
167,40,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K
168,38,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States,>50K
169,46,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,>50K
170,29,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,>50K
171,57,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K
172,39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States,>50K
173,47,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,>50K
174,26,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,>50K
175,27,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,<=50K
176,23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K
177,34,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States,<=50K
178,33,Private,12th,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,<=50K
179,38,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,<=50K
180,57,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K
181,36,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States,<=50K
182,44,Federal-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K
183,49,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K
184,44,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,0,2258,60,United-States,<=50K
185,55,Private,Some-college,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,>50K
186,45,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,44,United-States,>50K
187,48,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,>50K
188,31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States,>50K
189,55,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,>50K
190,70,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,United-States,>50K
191,70,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,8,United-States,>50K
192,73,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,United-States,>50K
193,72,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,28,United-States,>50K
194,31,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States,<=50K
195,28,Private,10th,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States,<=50K
196,23,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,United-States,>50K
197,49,Local-gov,9th,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,40,United-States,>50K
198,27,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States,>50K
199,90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
200,68,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,<=50K
201,65,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,<=50K
203,67,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K
204,66,Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K
205,24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,2205,24,United-States,<=50K
206,44,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States,<=50K
207,35,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,<=50K
208,20,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K
209,38,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States,<=50K
210,39,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K
211,32,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands,<=50K
212,42,Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States,<=50K
214,42,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,India,>50K
215,64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
216,28,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K
217,41,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K
218,41,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
219,58,Self-emp-not-inc,1st-4th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,United-States,<=50K
220,59,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,40,United-States,<=50K
221,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,12,United-States,<=50K
222,45,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,45,United-States,<=50K
223,29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2179,40,United-States,<=50K
224,47,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,0,2179,52,United-States,<=50K
225,40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,40,United-States,<=50K
226,47,Self-emp-not-inc,5th-6th,Married-civ-spouse,Sales,Husband,White,Male,0,2179,50,Mexico,<=50K
228,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2179,40,United-States,<=50K
229,34,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,2179,40,United-States,<=50K
231,65,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2174,10,United-States,>50K
232,70,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,>50K
233,75,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,>50K
234,65,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,40,United-States,>50K
235,65,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,40,United-States,>50K
236,73,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,>50K
238,68,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2149,40,United-States,<=50K
239,74,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,2149,20,United-States,<=50K
241,19,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,2129,55,United-States,<=50K
242,37,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2129,40,United-States,<=50K
243,45,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,2080,40,Philippines,<=50K
244,64,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2057,60,China,<=50K
245,30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2057,40,United-States,<=50K
246,51,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2057,60,Canada,<=50K
247,35,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2057,40,United-States,<=50K
248,29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,20,United-States,<=50K
249,34,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,United-States,<=50K
250,41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,60,United-States,<=50K
251,35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,45,United-States,<=50K
252,26,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K
253,54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,50,United-States,<=50K
254,52,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
255,50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2051,20,United-States,<=50K
256,31,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K
257,38,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,40,United-States,<=50K
258,30,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
259,34,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2051,40,United-States,<=50K
260,31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,2051,57,United-States,<=50K
261,52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,38,United-States,<=50K
262,54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
263,38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,44,United-States,<=50K
264,39,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,40,United-States,<=50K
265,29,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,0,2051,40,United-States,<=50K
266,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
267,34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,55,United-States,<=50K
268,38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,Poland,<=50K
269,39,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
270,61,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,20,United-States,<=50K
271,43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
272,35,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States,<=50K
