"X","Address","FLAG","Avg.min.between.sent.tnx","Avg.min.between.received.tnx","Time.Diff.between.first.and.last..Mins.","Sent.tnx","Received.Tnx","Number.of.Created.Contracts","Unique.Received.From.Addresses","Unique.Sent.To.Addresses","min.value.received","max.value.received","avg.val.received","min.val.sent","max.val.sent","avg.val.sent","min.value.sent.to.contract","max.val.sent.to.contract","avg.value.sent.to.contract","total.transactions..including.tnx.to.create.contract","total.Ether.sent","total.ether.received","total.ether.sent.contracts","total.ether.balance","Total.ERC20.tnxs","ERC20.total.Ether.received","ERC20.total.ether.sent","ERC20.total.Ether.sent.contract","ERC20.uniq.sent.addr","ERC20.uniq.rec.addr","ERC20.uniq.sent.addr.1","ERC20.uniq.rec.contract.addr","ERC20.avg.time.between.sent.tnx","ERC20.avg.time.between.rec.tnx","ERC20.avg.time.between.rec.2.tnx","ERC20.avg.time.between.contract.tnx","ERC20.min.val.rec","ERC20.max.val.rec","ERC20.avg.val.rec","ERC20.min.val.sent","ERC20.max.val.sent","ERC20.avg.val.sent","ERC20.min.val.sent.contract","ERC20.max.val.sent.contract","ERC20.avg.val.sent.contract","ERC20.uniq.sent.token.name","ERC20.uniq.rec.token.name","ERC20.most.sent.token.type","ERC20_most_rec_token_type"
2201,3.29214392992686e+47,0,21.68,0,64.9,3,1,0,1,3,101,101,101,4.2,79.672329,33.665988,0,0,0,5,100.9984557,109.878029,0,-1.48971,0,41292.57962,0,0,0,1,0,1,0,0,0,0,25002,0,0,2860,0,0,0,0,0,0,1,"0","0"
6015,9.18660590713236e+47,0,21.8,703.98,654729.17,779,929,0,4,1,0,0.762202,0.22528,0.00146,4.144047,0.088242,0,0,0,1775,690.5835144,495.3678225,0,0.000984218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
1782,2.67842408678775e+47,0,3487.85,18466.82,208775.1,9,6,0,4,4,0.040818,2.500344,0.036333,0,0,0,0,0,0,17,66.38147871,4.717551,0,0.0103728,5,0,0,0,0,5,0,4,0,0,0,0,0,0,16808.65847,0,0,0,0,0,0,0,4,"None","XENON"
1195,1.72484310267253e+47,0,0,266.92,228802.5,0,1624,1,1,0,0.200116,0.74,0.775874,0,0,0,0,0,0,1624,4.013882383,73.46876943,0,24.109097,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None","None"
340,4.21871403573995e+46,0,15.31,161.22,496.43,3,2,0,2,1,1.762101,2.995,2.253833,3.999535,4.246727,3.99316,0,0,0,5,5.244550859,22.47784783,0,0.00062,0,13.37,471485.0297,0,1,1,0,1,0,0,0,0,414.209516,3936.787244,0,7647.501,0,0,0,0,0,1,1,"0","0"
3270,4.93462295642521e+47,0,0,0,3.3,1,2,0,2,1,2.66,6,3.433549,2.999496,9.986118,6,0,0,0,4,13.17833865,5.25315732,0,0.000912636,0,66278.71084,3841,0,1,1,0,1,0,0,0,0,32345,0,0,10000,0,0,0,0,0,1,1,"0","0"
6798,1.0376789719673e+48,0,9003.23,18877.84,1002504.33,48,20,4,12,19,0.041306,2,0,0,0,0.09938,0,0,0,64,11.73688128,25.13068999,0,76.79496079,44,830.5011043,13890.43819,0,5,34,0,12,0,0,0,0,0,0,1732.078213,0,0,0,0,0,0,7,12,"minereum","OmiseGO"
9554,1.27379094171661e+48,1,0,0,0,0,0,0,0,0,0,0.709039,0.5,0.646247,0,0.69938,0,0,0,0,156.306501,0.13021657,0,0.0021,2,0,1.62e-09,0,1,0,0,0,0,0,0,0,0,0,32.775209,0,0,0,0,0,0,1,0,"blockwell.ai KYC Casper Token"," "
9406,1.16779845365912e+48,1,0,0,0,0,0,0,0,0,0,0.515639,0.222147,0,1.097273,0.337653,0,0,0,0,0.89782228,0,0,0.02238264,1,1.337,0,0,0,1,0,1,0,0,0,0,0,13.37,0.6685,0,0,0.151524,0,0,0,0,1," ","Everest"
5784,8.8101741594917e+47,0,0,13340.01,291467.48,0,28,1,7,0,0.09,2,0.1055,0,3.13228,1.6625,0,0,0,27,22.98004873,57.55457421,0,-32.09915869,2,397.951964,0,0,0,1,0,2,0,0,0,0,0,929775,50.1685,0,0,35.073314,0,0,0,0,2,"None","OmiseGO"
4994,7.52375445822317e+47,0,2546.9,2061.99,841715.78,282,96,0,54,101,0.005,100.59,8.501747,0.000804,100,4.61038,0,0,0,398,390.2719024,360.5789308,0,0.202333567,6,400,0,0,0,5,0,6,0,0,0,0,0,10000,146.141579,0,0,0,0,0,0,0,6,"None","YouDeal Token"
739,1.02588045158528e+47,0,0,7.91,10743.17,1,1,0,1,1,0.001619,7.095138,1.434392,2.593891,10.105,5.84204,0,0,0,2,5.61914008,39.983811,0,0.25030333,5,0,0,0,0,5,0,5,0,0,0,0,0.06335,0,0,0,0,0,0,0,0,0,5,"None","XENON"
8722,7.02716860478359e+47,1,0,4781.26,216675.57,0,48,1,29,0,0,1,0.147604,0,2.190799,0.692494,0,0,0,56,0.4578,18.81734066,0,73.36682091,1,0,0,0,0,0,0,0,0,0,0,0,0.424003,0.644873,0,0,44.054766,633.625,0,0,0,0,0," "," "
2262,3.37955542138957e+47,0,3.09,2527.77,164500.53,74,41,0,23,47,0.00838,14.583474,1.038998,0.00031,4.5,0.292856,0,0,0,115,0.4178263,0.7112,0,6.106116102,0,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,0,0,0,0,0,0,0,"0","0"
1183,1.72890369393926e+47,0,0,0,1.52,1,1,0,1,1,193.311068,193.311068,193.311068,193.310228,193.310228,129.260585,0,0,0,2,881.1209836,856.2498925,0,0.16300619,6,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"None","Skraps"
7249,1.10983549322991e+48,0,0,0,3.45,1,2,0,2,1,9,1,10,9.135534,0,9.358636,0,0,0,4,5.61567917,25.20944956,0,0.001414909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
5295,8.0287799760847e+47,0,24971.61,32194.8,596613.23,15,9,0,9,13,0.034397,474.824065,37.561772,0,298.9,58.205223,0,0,0,23,2599.390622,2001,0,0.004389,33,1998.189975,0,0,0,21,0,24,0,0,0,0,0,1.364886,0,0,0,0,0,0,0,0,24,"None","Livepeer Token"
992,1.40496321060054e+47,0,17.93,0,62.52,3,1,0,1,3,101,101,101,2.188456,84.840938,33.666171,0,0,0,4,100.9990158,101,0,0.00084,0,7.77e-16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0","0"
2847,4.27620877664825e+47,0,8814.12,1234.42,141053.67,21,3,0,1,5,0.03,3.52,2.56695,0,1.989496,0.166602,0,0,0,25,0,77.97144223,0,0.000728611,4,0,0,0,0,3,0,4,0,0,0,0,0,1079.505062,0,0,599.09,0,0,0,0,0,4,"None","Bytom"
1595,2.35383072316182e+47,0,6.73,7.59,142450.03,1257,5849,0,4,1,1,8770.13158,1276.217813,0.088825,8750,700,0,0,0,10000,1593316.124,1587831.569,0,-540805.8304,10000,0,0,0,3267,1033,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,13,103,"None","EOS"
2018,2.98359110363679e+47,0,0,0,4.17,1,1,0,1,1,2.9875,0,0.085066,3.099496,0,2.614231,0,0,0,2,0,0,0,51.56898205,16,0,0,0,0,9,0,9,0,0,0,0,0.301403,0.762257,0.264048,0,0,0,0,0,0,0,9,"None","www.pnztrust.com"
37,4.95106330760577e+44,0,1067.84,2502.34,861034.55,237,330,0,37,142,0.05,83.126343,4.690398,2,72.64453,4.859211,0,0,0,525,672.9361577,443.2685076,0,-5.435694508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219411,0,5800.970119,0,0,0,0,0,0,"0","0"
7443,1.14345874647353e+48,0,6.56,154925.97,636055.12,3,3,0,3,3,0.989,10.958538,6.603633,0.99958,8.5335,6.545641,0,0,0,5,2.0593311,0.9969124,0,0.001410374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84712,0,0,0,0,0,0,0,0,0,"0","0"
6402,9.7455123500787e+47,0,109.24,0,325.23,3,1,0,1,2,101,101,101,0.003,96.499016,33.666149,0,0,0,4,399.6888559,528.7260029,0,0.000984218,0,116.91,0,0,0,1,0,1,0,0,0,0,100,0,4370.482626,0,0,100,0,0,0,0,1,"0","0"
317,3.97221146072695e+46,0,163.54,0.6,4.67,2,2,0,2,2,667.825392,1366.726906,1000.5,365.734892,990.8,500.249528,0,0,0,4,2000.998113,2001,0,-2.03743804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
1746,2.62890809253252e+47,0,0,1679.86,228988.35,0,133,1,3,0,0,1.87294,1.633328,0,2.177585,0.996667,0,0,0,142,39.99668367,27.26358607,0,47.08662672,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503598,0,0,0.27521,0,0,0,0,0,0,"0","0"
8576,5.91509561646313e+47,1,260.49,749.25,1709.28,4,6,0,5,4,0.29071,0.995159,0.21508,0,0.472053,0.159761,0,0,0,9,8.801914,1.999517,0,0.00625233,1,0,0,0,0,0,0,0,0,0,0,0,0.252554,0,2.362986,0,0,0,0,0,0,0,0," "," "
9550,1.26238135736151e+48,1,9117.62,0,34549.75,10,1,0,1,8,1.992646,0.253479,0.097411,0,0.269343,0.189528,0,0,0,10,0.06127118,0.14291823,0,0.003528,0,13.37,0,0,0,1,0,1,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0,1,"0","0"
2995,4.45965048582516e+47,0,60.23,4607.1,11607.95,5,5,0,4,1,0.018437,0.208,0.181413,0.00096,0,0,0,0,0,10,0.02,9.998,0,0.213636456,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0.62728,0,0,0,0,0,0,0,5,"None","Bi ecology Token"
4834,7.3375896905333e+47,0,160.03,0,325.43,2,1,0,1,2,101,101,101,5,100.79999,50.499508,0,0,0,3,100.9989738,101,0,0.01022197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.240615,0,0,0,0,0,0,0,0,"0","0"
5885,8.99085281017037e+47,0,1868.89,10597.74,1279520.3,83,88,0,10,2,0,13.986,1.911302,0.001284,46.607585,4.3706,0,0,0,174,100.998488,0,0,0.359795081,12,14721.3808,0,0,0,8,0,9,0,0,0,0,0,0.044706,1.804754,0,0,0,0,0,0,0,9,"None","Livepeer Token"
8482,5.33854350116214e+47,1,0,0,0,0,0,0,0,0,0,2.232886,0.100988,0,2.59425,0.393198,0,0,0,0,1.0906142,2.071,0,0.952613114,1,0,0,0,0,0,0,0,0,0,0,0,0,1.865489,9092.2495,0,0,10000,0,0,0,0,0," "," "
482,6.41151339760438e+46,0,0,0,6002.88,1,1,0,1,1,1,4.995,5.409216,9.999528,5.004537,9.16297,0,0,0,2,16.1466401,1.801,0,0.00101837,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,0,0,0,0,0,0,"0","0"
9163,9.87934942319846e+47,1,0,637.54,13386.12,1,7,0,6,1,0.461128,4,0.705012,8.598025,0,2.993534,0,0,0,9,0.499496,1.1,0,0.0021,1,1.337,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1," ","DMTS"
2919,4.35913279571746e+47,0,2.32,2.33,13.93,3,2,0,2,3,368.862255,1563.002136,1000.5,1,1516.455268,666.999528,0,0,0,5,2000.998585,2001,0,0.03,0,4649.9996,0,0,0,1,0,1,0,0,0,0,1000,133.65,1.268097,0,0,743.600001,0,0,0,0,1,"0","0"
2129,3.16288676146023e+47,0,6416.37,8857.97,326492,20,34,0,16,3,0,0,0.443528,0.036574,1.4,0.223049,0,0,0,57,9.999528364,60.31042843,0,0.001414909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None","None"
9465,1.20954069847757e+48,1,0,429.64,2096.28,1,2,0,2,1,0.7,3.401928,4.388501,3.767123,9.7,5.835225,0,0,0,5,0.775651,0.00171924,0,0.001554,1,1.337,0,0,0,1,0,1,0,0,0,0,0,165.652321,0,0,0,0,0,0,0,0,1," ","VIU"
5259,7.98065401832305e+47,0,0,0,2.85,1,2,0,2,1,1.9,79.96,50.5,5.934,61.52335,32.10674,0,0,0,4,100.9980316,120.055,0,0.000471659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86097,0,2.153252,0,0,0,0,0,0,"0","0"
7741,5.46058590401752e+46,1,0,339.31,206575.92,1,4,0,4,1,0.494,2.45002,1.079604,5.499,2.540584,2.9909,0,0,0,5,0,1.834503371,0,-2.04537,1,53.37107162,0,0,0,1,0,1,0,0,0,0,13.37,8888,301.083903,0,0,57752.51426,0,0,0,0,1," ","VIU"
7104,1.08763522998201e+48,0,0,0,1.63,1,2,0,2,1,2.879014,6,4.5,3.061257,7.062099,5.384707,0,0,0,3,35.2527844,36.178805,0,0.001506437,0,0,0,0,0,0,0,0,0,0,0,0,0,2105.02,0,0,0,0,0,0,0,0,0,"0","0"
73,2.6338331492086e+45,0,52.48,287.13,356.88,3,2,0,2,1,3.1,3,5.4,1.999537,5.3228,4.000248,0,0,0,6,0.67506866,3.18888016,0,0.000471636,0,13.37,0,0,0,1,0,1,0,0,0,0,13.37,0,1003.848668,0,0,0,0,0,0,0,1,"0","0"
355,4.35020140789057e+46,0,0,0,14.03,1,1,0,1,1,1.373735,0,0,1.49,0,0.442795,0,0,0,2,23.2,10,0,0.001414909,0,1011.42089,0,0,0,1,0,1,0,0,0,0,666,0,0,0,0,0,0,0,0,0,1,"0","0"
1059,1.49987910299079e+47,0,17.45,1502.46,329190.57,174,183,0,5,2,0,52.004725,6.14289,0.508723,39.989568,5.965031,0,0,0,338,1391.349795,1361.537785,0,0.001026218,0,5.345209069,0,0,0,1,0,1,0,0,0,0,0.076174,7011.706645,6132.673724,4e-06,0,0,0,0,0,0,1,"0","0"
4018,6.11461601341725e+47,0,1.6,0.28,8.88,3,2,0,2,3,826.065157,1167.944938,1000.5,0.016,1515.695777,666.999528,0,0,0,5,2000.998585,2001,0,30.01108451,12,0,5836.970119,0,5,2,0,5,0,0,0,0,0.145304,2.211004,0,0,0,0,0,0,0,4,5,"blockwell.ai KYC Casper Token","None"
1054,1.50742206250177e+47,0,0,0,17.43,0,0,1,0,0,5,0,0.175256,0,0.17938,0.19979,0,0,0,2,6.654,20.41132057,0,39.06530094,0,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,0,0,0,0,0,0,0,"0","0"
3409,5.12768300738984e+47,0,2.89,1654.4,24975.73,6,3,0,1,3,0.232687,0.560094,0.405052,0.00096,0.99,0.702336,0,0,0,9,0,0.66647488,0,0.124761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.732968,100,0,0,0,0,0,0,0,"0","0"
2368,3.50832495693805e+47,0,153.28,0,330.2,2,1,0,1,2,101,101,101,20.4,75.999016,50.499508,0,0,0,3,102.2337028,101,0,-4.7587321,0,0,0,0,0,0,0,0,0,0,0,0,1.337,13.37,149.527975,0,0,0,0,0,0,0,0,"0","0"
1927,2.88064995758118e+47,0,0,0,4.17,1,1,0,1,1,0.298122,0,0.176135,0.099293,1.999559,0.588305,0,0,0,2,0,11.79287451,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,3162.5,73.941442,0,0,0,0,0,0,0,0,"0","0"
2020,2.98511761504844e+47,0,14.59,746.67,1418597.22,1696,1471,0,2,2,0.182054,14.63998,4.464757,0.929623,1090,195.246139,0,0,0,2763,56892.94749,37646.73386,0,0.062769,10,21092.01,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"None","BitClave"
4529,6.89943039440755e+47,0,106.55,0.69,326.13,4,2,0,2,2,28.415669,61.641336,50.5,0.00858,82.73027,25.249475,0,0,0,5,100.9984698,101,0,0.000581532,0,642.1686265,155663.7065,0,1,1,0,1,0,0,0,0,717.638,0,0,1,0,0,0,0,0,1,1,"0","0"
7753,5.74638439114392e+46,1,1641.74,3380.07,10561.05,3,15,0,9,2,0.178918,5.995,2.964513,20,6.621674,20.740397,0,0,0,16,22.32679213,2.32593252,0,0.578582578,4,107429.206,0,0,0,3,0,4,0,0,0,0,0,0,135.619359,0,0,0,0,0,0,0,4," ","SAFE.AD - 20% DISCOUNT UNTIL 1 MAY"
4422,6.72684001884708e+47,0,8110.89,77562.11,932725.98,4,10,0,7,2,0.10918,37.84815,8.406404,0,48,9.340871,0,0,0,10,100.9990158,101,0,0.001554,8,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"None","Livepeer Token"
9759,1.41478129918933e+48,1,16459.9,455.94,39235.4,5,46,0,37,5,0.005,14.341,0.723053,0,16.663061,5.970857,0,0,0,48,0.743614532,61.30538585,0,0.00126,2,1.337,0,0,0,2,0,2,0,0,0,0,1.011585,0.866038,0,0,0,0,0,0,0,0,2," ","An Etheal Promo"
2032,3.00243510644729e+47,0,2.5,28003.05,59416.08,4,5,0,3,1,0.999454,8,6.121828,1.227106,8.009496,3.87327,0,0,0,8,0.599,0.995,0,0.014710582,0,33739,0,0,0,1,0,1,0,0,0,0,25002,0.793634,13.37,0,0,0,0,0,0,0,1,"0","0"
2457,3.6477429610978e+47,0,0,111.33,492515.08,0,913,1,16,0,0,4.9981,2.007422,0,7.3,1.106965,0,0,0,1011,44.84742901,0,0,60.49578813,2,0,0,0,0,0,0,0,0,0,0,0,0.236959,1.022571,70589.22018,0,0,0,0,0,0,0,0,"None","None"
4373,6.60866217953902e+47,0,93.43,4624.11,541432.73,107,109,0,1,3,0.01888,0.19,1.005,0.036574,1.771501,0.256416,0,0,0,217,19.02237018,7.82118647,0,0.0076482,0,0,0,0,0,0,0,0,0,0,0,0,0.376631,365,0,0,0,0,0,0,0,0,0,"0","0"
4328,6.55820280521488e+47,0,30.48,0,309109.95,8076,2150,0,787,2341,0.000441,1489.94,14.345195,0,1090,8.6613,0,0,0,10000,118228.3265,97772.21432,0,1212.166041,15,0,0.303163587,0,1,12,0,13,0,0,0,0,0,1.337,0,0,0,0,0,0,0,1,13,"AION","Nexium"
8568,5.95493872020415e+47,1,0,0,0,0,0,0,0,0,0,1,0.559282,1.499517,0,1.4978,0,0,0,1,5.330714445,8.821553968,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,21000,50.550045,0,0,0,0,0,0,0,0," "," "
6449,9.82973502537371e+47,0,0,0,47,1,1,0,1,1,1.04,1.309746,0.070631,0.417826,3.094559,1.912203,0,0,0,2,1.83718894,0.04837242,0,0.00104,0,1.54e-06,0,0,0,1,0,1,0,0,0,0,0,0,1297.051081,0,0,0,0,0,0,0,1,"0","0"
164,1.4754352259006e+46,0,484.97,13360.06,166618.25,17,16,0,2,11,0,17.949074,12.416374,0,22.389073,5.507183,0,0,0,36,0.0481811,101,0,0.000984218,3,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Aragon","None"
3274,4.92967235456487e+47,0,37115.4,8956.57,466806.08,14,6,0,5,7,0.142433,5.4569,1.67375,0.058,10.480516,1.617078,0,0,0,21,0.99674689,0.659337614,0,0.001414909,2,382533.0672,0,0,0,2,0,2,0,0,0,0,0,1.337,1.714116,0,0,0,0,0,0,0,2,"None","Bulleon Promo Token"
6541,9.94715524348819e+47,0,19.45,0.49,63.52,2,2,0,2,2,467.501812,1515.800284,1000.5,11.509855,1401.01764,666.999528,0,0,0,4,2000.998169,2001,0,0.00546,0,0,0,0,0,0,0,0,0,0,0,0,0.527284,30,4600.86454,0.616978,0,0,0,0,0,0,0,"0","0"
